ble_count,CLB_groups_per_xb,lut_size,fc_in,fc_out,fs,Tdel,T_ipin_cblock,T_local_CLB_routing,T_local_feedback,T_logic_block_output,mwta_clb,mwta_ipin_mux_trans,mwta_switch_mux_trans,mwta_switch_buf,mwta_cb_buf
11,4,5,0.15,0.1,3,1.519e-10,1.367e-10,1.701e-10,2.314e-10,3.891e-11,26655.687306204545,1.2559575028878802,2.1727504894282226,29.56803769238829,12.338812431987572
12,2,5,0.15,0.1,3,1.48e-10,1.166e-10,1.231e-10,1.808e-10,3.843e-11,21731.535379486428,1.2559575028878802,2.1727504894282226,31.878937396507705,10.459571399159342
12,1,5,0.15,0.1,3,1.396e-10,1.165e-10,8.037e-11,1.292e-10,3.88e-11,18603.3428334744,1.2559575028878802,2.1727504894282226,32.23538210505389,8.005400376772236
12,3,5,0.15,0.1,3,1.643e-10,1.376e-10,1.616e-10,2.286e-10,3.85e-11,26389.968225913708,1.2559575028878802,2.377488762626255,34.139848104317956,12.338812431987572
12,4,5,0.15,0.1,3,1.735e-10,1.503e-10,2.059e-10,2.794e-10,3.827e-11,30681.49394331932,1.2559575028878802,2.377488762626255,36.28905735070841,12.24928542017113
13,2,5,0.15,0.1,3,1.563e-10,1.308e-10,1.203e-10,1.832e-10,3.7e-11,26927.321203183572,1.2559575028878802,2.377488762626255,32.51543786167078,10.64549581115425
13,1,5,0.15,0.1,3,1.465e-10,1.206e-10,8.883e-11,1.371e-10,3.708e-11,19161.527748105862,1.2559575028878802,2.377488762626255,30.780926743890557,10.201428733794568
13,4,5,0.15,0.1,3,1.834e-10,1.61e-10,1.957e-10,2.873e-10,4.154e-11,38631.02967628091,1.2559575028878802,2.576915005775761,36.183968255229246,13.42777533761766
13,3,5,0.15,0.1,3,1.615e-10,1.297e-10,1.577e-10,2.319e-10,3.861e-11,32067.77253298097,1.2559575028878802,2.377488762626255,34.67633060130038,10.369867481768592
14,2,5,0.15,0.1,3,1.714e-10,1.389e-10,1.266e-10,1.93e-10,4.485e-11,28867.492364294812,1.2559575028878802,2.377488762626255,34.23395246040796,10.175286251211825
14,1,5,0.15,0.1,3,1.65e-10,1.281e-10,8.194e-11,1.401e-10,3.714e-11,22037.32159185847,1.2559575028878802,2.1727504894282226,41.470143053895505,10.144704909417623
14,3,5,0.15,0.1,3,1.861e-10,1.517e-10,1.662e-10,2.412e-10,3.941e-11,36006.45025749431,1.2559575028878802,2.576915005775761,34.51094843931122,11.628738243247751
14,4,5,0.15,0.1,3,1.991e-10,1.59e-10,2.114e-10,3.082e-10,3.938e-11,41657.978857562375,1.5082318657594311,2.576915005775761,39.05883631093591,13.42777533761766
15,2,5,0.15,0.1,3,1.808e-10,1.452e-10,1.4e-10,2.082e-10,4.076e-11,32550.42422083243,1.2559575028878802,2.576915005775761,36.471414258350116,10.257855356264992
15,1,5,0.15,0.1,3,1.665e-10,1.326e-10,9.116e-11,1.503e-10,3.864e-11,24769.651875523807,1.2559575028878802,2.377488762626255,33.5332191158604,10.23618714155062
